ATC Code,Substance Name,type,IngredientID
N05AL01,Sulpiride,Atypical,19136626
N05AH04,Quetiapine,Atypical,766814
N05AX08,Risperidone,Atypical,735979
N05AH03,Olanzapine,Atypical,785788
N05AD01,Haloperidol,Typical,766529
N05AX12,Aripiprazole,Atypical,757688
N05AD05,Pipamperone,Typical,19093225
N05AX07,Prothipendyl,Typical,19115044
N05AB04,Prochlorperazine,Typical,752061
N05AF03,Chlorprothixene,Typical,19095002
N05AA03,Promazine,Typical,19052903
N05AX13,Paliperidone,Atypical,703244
N05AF05,Zuclopenthixol,Typical,19010886
N05AH02,Clozapine,Atypical,800878
N05AG01,Fluspirilene,Typical,19056465
N05AL05,Amisulpride,Atypical,19057607
N05AB02,Fluphenazine,Typical,756018
N05AB03,Perphenazine,Typical,733008
N05AG02,Pimozide,Typical,745790
N05AE04,Ziprasidone,Atypical,712615
